order_item_id,order_id,product_id,quantity,discount_applied,price,item_total
1,1837,318,2,0.15,1925.2,3272.84
271,2045,318,1,0.12,1925.2,1694.1760000000002
617,2867,318,1,0.05,1925.2,1828.94
954,581,318,2,0.36,1925.2,2464.2560000000003
982,42,318,1,0.44,1925.2,1078.112
1743,821,318,3,0.21,1925.2,4562.724
2696,2304,318,2,0.31,1925.2,2656.776
2733,87,318,5,0.15,1925.2,8182.099999999999
4051,1112,318,4,0.09,1925.2,7007.728
5054,86,318,4,0.24,1925.2,5852.608
5240,1576,318,4,0.4,1925.2,4620.48
5260,1533,318,2,0.32,1925.2,2618.272
5438,42,318,5,0.06,1925.2,9048.439999999999
2,2580,387,5,0.02,2578.64,12635.336
406,2475,387,1,0.35,2578.64,1676.116
519,2796,387,5,0.3,2578.64,9025.239999999998
912,2576,387,2,0.46,2578.64,2784.9312
1288,433,387,1,0.4,2578.64,1547.184
1832,2395,387,4,0.29,2578.64,7323.337599999999
1844,2783,387,1,0.41,2578.64,1521.3976000000002
2504,587,387,3,0.19,2578.64,6266.095200000001
2878,1384,387,1,0.24,2578.64,1959.7664
4888,2297,387,1,0.42,2578.64,1495.6112
5050,596,387,3,0.0,2578.64,7735.92
5331,1313,387,1,0.35,2578.64,1676.116
3,2939,419,5,0.23,9704.83,37363.5955
89,1082,419,3,0.04,9704.83,27949.910399999997
564,358,419,3,0.08,9704.83,26785.3308
1774,2665,419,1,0.05,9704.83,9219.5885
2539,2452,419,4,0.03,9704.83,37654.740399999995
3339,1255,419,3,0.19,9704.83,23582.7369
3518,1731,419,1,0.29,9704.83,6890.4293
4166,1403,419,1,0.37,9704.83,6114.0429
4189,1327,419,3,0.19,9704.83,23582.7369
4717,581,419,4,0.14,9704.83,33384.6152
5243,2327,419,4,0.02,9704.83,38042.9336
5559,1680,419,1,0.11,9704.83,8637.2987
5719,2573,419,2,0.26,9704.83,14363.1484
4,481,221,3,0.42,7747.56,13480.754400000002
1122,2750,221,5,0.0,7747.56,38737.8
1523,1182,221,5,0.15,7747.56,32927.130000000005
2209,1101,221,1,0.13,7747.56,6740.3772
2558,449,221,5,0.18,7747.56,31764.996000000006
2979,2203,221,4,0.01,7747.56,30680.337600000003
3261,1118,221,4,0.03,7747.56,30060.5328
3827,2498,221,1,0.11,7747.56,6895.3284
4190,641,221,1,0.14,7747.56,6662.9016
4355,1368,221,4,0.37,7747.56,19523.8512
4719,909,221,5,0.47,7747.56,20531.034000000003
4899,2419,221,1,0.29,7747.56,5500.7676
5933,2937,221,4,0.34,7747.56,20453.558399999998
5,1787,41,2,0.28,6739.22,9704.4768
