order_id,customer_id,order_date,order_status,payment_method
1,134,2024-10-18,Delivered,UPI
2,570,2024-08-23,Delivered,Credit Card
3,62,2025-05-09,Delivered,Net Banking
4,601,2025-03-15,Delivered,Net Banking
5,980,2025-04-14,Pending,Credit Card
6,576,2025-06-07,Cancelled,Net Banking
7,576,2025-01-05,Delivered,UPI
8,338,2025-03-16,Delivered,UPI
9,687,2025-01-23,Returned,Net Banking
10,126,2024-12-02,Pending,UPI
11,421,2024-11-13,Returned,Net Banking
12,363,2024-12-11,Returned,Cash on Delivery
13,895,2024-07-30,Returned,UPI
14,682,2025-02-15,Delivered,Net Banking
15,964,2024-10-03,Cancelled,UPI
16,769,2025-06-05,Pending,Cash on Delivery
17,434,2024-08-19,Delivered,Cash on Delivery
18,889,2024-11-03,Pending,UPI
19,938,2025-06-21,Delivered,Cash on Delivery
20,739,2024-11-13,Cancelled,UPI
21,53,2025-03-04,Cancelled,Credit Card
22,992,2024-12-25,Pending,Credit Card
23,295,2024-12-19,Returned,Cash on Delivery
24,615,2025-04-15,Delivered,UPI
25,320,2025-01-22,Pending,Credit Card
26,361,2025-05-27,Returned,Net Banking
27,107,2025-03-18,Cancelled,Net Banking
28,592,2024-08-29,Delivered,Net Banking
29,520,2025-06-07,Cancelled,UPI
30,218,2024-07-13,Delivered,Cash on Delivery
31,159,2024-11-07,Returned,UPI
32,673,2025-01-09,Delivered,Cash on Delivery
33,494,2025-06-18,Returned,UPI
34,230,2025-05-26,Delivered,UPI
35,868,2025-02-24,Pending,UPI
36,111,2024-08-22,Cancelled,Credit Card
37,359,2025-02-14,Delivered,Net Banking
38,866,2024-11-06,Delivered,Net Banking
39,570,2025-01-22,Cancelled,UPI
40,377,2025-02-27,Delivered,Net Banking
41,118,2025-05-16,Cancelled,Net Banking
42,781,2025-04-12,Returned,Cash on Delivery
43,286,2024-08-27,Pending,Credit Card
44,588,2025-05-23,Pending,Net Banking
45,232,2025-05-03,Cancelled,UPI
46,827,2025-02-04,Pending,UPI
47,440,2024-08-20,Cancelled,Cash on Delivery
48,866,2025-05-10,Pending,Net Banking
49,575,2025-04-30,Delivered,UPI
50,998,2024-09-14,Delivered,UPI
51,786,2025-05-13,Pending,Credit Card
52,839,2025-03-23,Returned,Net Banking
53,637,2024-11-27,Pending,Credit Card
54,629,2024-07-28,Delivered,Credit Card
55,692,2025-05-12,Pending,Net Banking
56,659,2024-12-06,Delivered,Credit Card
57,571,2025-06-04,Returned,Net Banking
58,27,2024-08-09,Returned,Net Banking
59,624,2025-01-07,Pending,Net Banking
60,952,2025-01-24,Delivered,Credit Card
61,674,2024-07-13,Returned,Net Banking
62,850,2025-01-14,Cancelled,Net Banking
63,711,2024-08-06,Pending,UPI
64,274,2025-02-05,Cancelled,Credit Card
65,30,2024-06-28,Pending,Credit Card
66,185,2024-10-03,Delivered,Net Banking
67,280,2025-06-24,Delivered,UPI
68,720,2025-01-26,Cancelled,UPI
69,781,2025-03-12,Delivered,Cash on Delivery
70,317,2025-06-27,Delivered,Cash on Delivery
71,944,2024-08-29,Delivered,UPI
72,348,2025-04-10,Cancelled,Credit Card
73,360,2024-09-23,Delivered,Credit Card
74,7,2025-03-19,Returned,Net Banking
75,186,2025-03-29,Pending,Cash on Delivery
76,891,2025-04-28,Returned,UPI
77,147,2024-11-04,Cancelled,Net Banking
78,580,2025-01-02,Cancelled,Credit Card
79,674,2024-08-11,Delivered,Net Banking
80,411,2024-10-31,Returned,Net Banking
81,72,2025-04-07,Cancelled,UPI
82,146,2025-05-17,Pending,Net Banking
83,759,2025-05-02,Cancelled,UPI
84,649,2024-11-18,Returned,Cash on Delivery
85,996,2025-01-25,Pending,Net Banking
86,32,2025-06-25,Pending,Credit Card
87,94,2024-11-27,Delivered,Credit Card
88,765,2025-01-16,Pending,Net Banking
89,544,2025-03-09,Delivered,Cash on Delivery
90,221,2025-05-11,Delivered,Credit Card
91,386,2024-11-26,Cancelled,Cash on Delivery
92,430,2024-09-20,Cancelled,Net Banking
93,465,2025-02-06,Delivered,Cash on Delivery
94,350,2024-11-10,Returned,UPI
95,162,2025-04-14,Delivered,Credit Card
96,379,2024-12-02,Returned,Cash on Delivery
97,320,2025-03-21,Pending,Credit Card
98,739,2025-04-14,Pending,Cash on Delivery
99,333,2024-08-07,Pending,Credit Card
100,796,2024-09-22,Delivered,Credit Card
101,965,2025-03-02,Returned,Net Banking
102,582,2025-03-04,Delivered,Cash on Delivery
103,611,2024-12-20,Pending,Net Banking
104,87,2024-08-26,Cancelled,Credit Card
105,905,2025-05-17,Pending,Cash on Delivery
106,54,2025-03-23,Pending,Cash on Delivery
107,160,2025-06-09,Cancelled,UPI
108,162,2025-04-15,Returned,Credit Card
109,773,2024-09-08,Pending,UPI
110,633,2025-04-01,Returned,UPI
111,51,2024-06-27,Cancelled,Cash on Delivery
112,691,2025-06-08,Cancelled,UPI
113,84,2025-05-01,Cancelled,Credit Card
114,279,2025-01-08,Delivered,Net Banking
115,454,2025-05-03,Returned,UPI
116,678,2024-08-07,Delivered,UPI
117,435,2025-01-05,Cancelled,Cash on Delivery
118,498,2024-08-22,Pending,Cash on Delivery
119,622,2025-06-17,Delivered,Cash on Delivery
120,453,2024-07-25,Pending,Net Banking
121,425,2025-03-23,Delivered,Cash on Delivery
122,280,2024-10-24,Returned,Credit Card
123,221,2024-09-28,Pending,Credit Card
124,774,2025-04-16,Delivered,Cash on Delivery
125,525,2024-12-01,Cancelled,Cash on Delivery
126,117,2024-10-22,Cancelled,Net Banking
127,354,2025-05-13,Returned,Net Banking
128,441,2024-09-16,Returned,Credit Card
129,114,2025-01-23,Delivered,Net Banking
130,291,2025-03-01,Cancelled,Cash on Delivery
131,695,2024-08-03,Pending,Net Banking
132,695,2025-05-09,Delivered,Cash on Delivery
133,608,2024-09-09,Delivered,Credit Card
134,499,2024-07-06,Cancelled,UPI
135,540,2024-07-03,Returned,Net Banking
136,684,2024-07-09,Pending,Credit Card
137,316,2024-10-19,Returned,Credit Card
138,47,2024-08-13,Delivered,Net Banking
139,226,2024-09-15,Delivered,UPI
140,405,2024-09-07,Cancelled,Cash on Delivery
141,614,2025-05-14,Returned,Credit Card
142,57,2025-04-24,Delivered,Credit Card
143,8,2025-03-18,Delivered,UPI
144,210,2024-07-24,Returned,Cash on Delivery
145,309,2024-07-23,Cancelled,Credit Card
146,969,2024-10-03,Cancelled,UPI
147,217,2024-12-19,Pending,Net Banking
148,786,2024-08-12,Pending,UPI
149,141,2024-12-07,Pending,UPI
150,783,2024-11-12,Returned,Credit Card
151,262,2025-03-10,Pending,Cash on Delivery
152,297,2024-11-30,Pending,Net Banking
153,336,2024-07-01,Returned,UPI
154,123,2025-03-25,Pending,Net Banking
155,8,2025-02-14,Cancelled,Cash on Delivery
156,510,2024-10-21,Delivered,Net Banking
157,765,2024-11-07,Cancelled,Net Banking
158,441,2024-11-24,Cancelled,Credit Card
159,180,2024-11-19,Delivered,Cash on Delivery
160,133,2024-09-15,Cancelled,UPI
161,390,2024-10-22,Delivered,Credit Card
162,546,2024-12-10,Cancelled,Credit Card
163,721,2025-02-22,Returned,UPI
